/home/admiral/anaconda3/envs/RLearning/lib/python3.9/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Using device: cpu
Episode  195 | Reward:    3.943 | RPS:  0.079 | Eps: 0.6769 | Steps: 50
Episode  196 | Reward:    8.548 | RPS:  0.171 | Eps: 0.6756 | Steps: 50
Episode  197 | Reward:    4.457 | RPS:  0.089 | Eps: 0.6735 | Steps: 50
Episode  198 | Reward:    5.064 | RPS:  0.101 | Eps: 0.6722 | Steps: 50
Episode  199 | Reward:    8.531 | RPS:  0.171 | Eps: 0.6702 | Steps: 50
Episodes  101- 200 | Success rate: 0.00%
Episode  200 | Reward:   13.740 | RPS:  0.275 | Eps: 0.6688 | Steps: 50
Episode  201 | Reward:    3.076 | RPS:  0.062 | Eps: 0.6668 | Steps: 50
Episode  202 | Reward:    6.043 | RPS:  0.121 | Eps: 0.6655 | Steps: 50
Episode  203 | Reward:   13.531 | RPS:  0.271 | Eps: 0.6635 | Steps: 50
Episode  204 | Reward:    7.016 | RPS:  0.140 | Eps: 0.6622 | Steps: 50
Episode  205 | Reward:    5.320 | RPS:  0.106 | Eps: 0.6602 | Steps: 50
Episode  206 | Reward:    6.166 | RPS:  0.123 | Eps: 0.6589 | Steps: 50
Episode  207 | Reward:    5.337 | RPS:  0.107 | Eps: 0.6569 | Steps: 50
Episode  208 | Reward:    5.580 | RPS:  0.112 | Eps: 0.6556 | Steps: 50
Episode  209 | Reward:    3.980 | RPS:  0.080 | Eps: 0.6536 | Steps: 50
Episode  210 | Reward:   10.007 | RPS:  0.200 | Eps: 0.6523 | Steps: 50
Episode  211 | Reward:   10.970 | RPS:  0.219 | Eps: 0.6504 | Steps: 50
Episode  212 | Reward:    4.703 | RPS:  0.094 | Eps: 0.6491 | Steps: 50
Episode  213 | Reward:    6.123 | RPS:  0.122 | Eps: 0.6471 | Steps: 50
Episode  214 | Reward:    6.897 | RPS:  0.138 | Eps: 0.6458 | Steps: 50
Episode  215 | Reward:    4.061 | RPS:  0.081 | Eps: 0.6439 | Steps: 50
Episode  216 | Reward:   12.851 | RPS:  0.257 | Eps: 0.6426 | Steps: 50
Episode  217 | Reward:    3.939 | RPS:  0.079 | Eps: 0.6407 | Steps: 50
Episode  218 | Reward:    4.843 | RPS:  0.097 | Eps: 0.6394 | Steps: 50
Episode  219 | Reward:    8.332 | RPS:  0.167 | Eps: 0.6375 | Steps: 50
Episode  220 | Reward:    4.857 | RPS:  0.097 | Eps: 0.6362 | Steps: 50
Episode  221 | Reward:    5.261 | RPS:  0.105 | Eps: 0.6343 | Steps: 50
Episode  222 | Reward:    8.549 | RPS:  0.171 | Eps: 0.6330 | Steps: 50
Episode  223 | Reward:   14.952 | RPS:  0.299 | Eps: 0.6311 | Steps: 50
Episode  224 | Reward:    3.819 | RPS:  0.076 | Eps: 0.6299 | Steps: 50
Episode  225 | Reward:    4.956 | RPS:  0.099 | Eps: 0.6280 | Steps: 50
Episode  226 | Reward:   10.658 | RPS:  0.213 | Eps: 0.6267 | Steps: 50
Episode  227 | Reward:   16.331 | RPS:  0.327 | Eps: 0.6249 | Steps: 50
Episode  228 | Reward:    6.531 | RPS:  0.131 | Eps: 0.6236 | Steps: 50
Episode  229 | Reward:    8.612 | RPS:  0.172 | Eps: 0.6217 | Steps: 50
